Ticker,Last Price,Market Cap,PE Ratio,EPS,Revenue,Net Income,Dividend Yield,52 Week High,52 Week Low,Beta,Volume,Average Volume,Sector,Industry
APPN,36.314998626708984,2688355840.0,,-1.26,545363000.0,-111441000.0,,43.33,26.28,1.638,270727.0,414494.0,Technology,Software - Infrastructure
ITUB,5.75,53488340992.0,7.8767123,0.73,148380000000.0,33105000000.0,6.18,7.07,4.86,,6101455.0,28310427.0,Financial Services,Banks - Regional
CNH,13.255000114440918,16555229184.0,13.388889,0.99,24687000000.0,2371000000.0,3.49,13.51,9.28,1.625,4491722.0,12237686.0,Industrials,Farm & Heavy Construction Machinery
HL,5.704999923706055,3604595712.0,95.083336,0.06,929925000.0,35802000.0,0.28,7.68,3.4,1.905,8903499.0,14109618.0,Basic Materials,Other Precious Metals & Mining
TEM,73.44000244140625,11562834944.0,,-5.16,531822000.0,-214118000.0,,91.45,22.89,,13905809.0,9262267.0,Healthcare,Health Information Services
GOOGL,183.74879455566406,2250040672256.0,22.854328,8.04,350018000000.0,100118000000.0,0.43,207.05,130.67,0.991,7022589.0,28980776.0,Communication Services,Internet Content & Information
RIOT,11.484999656677246,3950001664.0,76.56666,0.15,280678000.0,-49472000.0,,18.36,6.355,4.229,10224540.0,33458798.0,Financial Services,Capital Markets
JBLU,7.105000019073486,2508071936.0,,-2.3,9279000000.0,-795000000.0,,8.31,4.5,1.828,5468569.0,20778820.0,Industrials,Airlines
NBIS,40.72999954223633,9590041600.0,,-0.01,9039938989.94464,224494407.411592,,50.87,14.09,0.77,19562578.0,10326072.0,Communication Services,Internet Content & Information
CDE,6.269999980926514,4001123328.0,,-0.01,821206000.0,-103612000.0,,7.72,2.42,,11069565.0,12955386.0,Basic Materials,Gold
KGC,11.675700187683105,14419723264.0,15.163247,0.77,4239700000.0,416300000.0,1.06,12.29,4.75,1.266,8442561.0,19328855.0,Basic Materials,Gold
IBRX,3.690000057220459,2687007232.0,,-0.9,622000.0,-583196000.0,,10.53,2.28,-0.194,3526629.0,6093125.0,Healthcare,Biotechnology
PR,14.550000190734863,11688945664.0,8.267046,1.76,3120893000.0,476306000.0,4.1,18.28,12.62,4.277,3338841.0,7407571.0,Energy,Oil & Gas E&P
GILD,109.12999725341797,136005435392.0,287.1842,0.38,27116000000.0,5665000000.0,2.94,109.38,62.07,0.199,2178053.0,6985167.0,Healthcare,Drug Manufacturers - General
GM,46.915000915527344,46680518656.0,7.3649926,6.37,187442000000.0,6008000000.0,1.0,61.24,38.95,1.415,1377843.0,11078703.0,Consumer Cyclical,Auto Manufacturers
F,9.3100004196167,36899721216.0,6.3767123,1.46,184992000000.0,5879000000.0,8.03,14.85,9.1,1.644,15980903.0,67358391.0,Consumer Cyclical,Auto Manufacturers
STLA,13.9350004196167,40862019584.0,3.055921,4.56,189544000000.0,18596000000.0,11.96,29.51,12.12,1.209,3263315.0,9813011.0,Consumer Cyclical,Auto Manufacturers
HOOD,54.959999084472656,48664936448.0,35.23077,1.56,2951000000.0,1411000000.0,,66.91,13.595,2.138,16854732.0,24322879.0,Financial Services,Capital Markets
